item_purchased,item_type,unit_price,amount,total_purchase_pr,date_time,cashier,comment
CHUCKIE 110ML NEW,Drinks,₱20.00,2,₱40.00,10/12/2025 18:22:18,Yang,
CHOCOLATE MALLOWS 36G,Snacks,₱23.00,1,₱23.00,10/12/2025 18:22:18,Yang,
CLOUD 9 CLASSIC 28GX12,Snacks,₱13.00,1,₱13.00,10/12/2025 18:22:18,Yang,
CHIPPY BARBEQUE 30G,Snacks,₱11.00,1,₱11.00,10/12/2025 18:22:18,Yang,
TOMI SUPER SWEET CORN 25G,Snacks,₱10.00,1,₱10.00,10/12/2025 18:22:18,Yang,
MONDE MAMON CLASSIC 12S,Snacks,₱23.00,1,₱23.00,10/12/2025 18:22:18,Yang,
SURF PWDR CHERRY BLSSM 65G,Toiletries / Personal Care,₱9.00,1,₱9.00,10/12/2025 18:22:18,Yang,
ZONROX REG SCENT 250ML,Household Supplies,₱21.00,1,₱21.00,10/12/2025 18:22:18,Yang,
NESTEA LEMON LITRO 19G,Packaged Foods,₱26.00,2,₱52.00,10/12/2025 18:22:18,Yang,
TANG LITRO DALANDAN 19G,Grocery Staples,₱24.00,1,₱24.00,10/12/2025 18:22:18,Yang,
TANG MANGGA 19G,Grocery Staples,₱24.00,1,₱24.00,10/12/2025 18:22:18,Yang,
VITAMILK CHOCOSHAKE 300ML,Drinks,₱43.00,1,₱43.00,10/12/2025 18:22:18,Yang,
Strawberry Crispy,Ice Cream,₱20.00,1,₱20.00,10/12/2025 18:34:05,Yang,
Double Chocolate Crispy,Ice Cream,₱25.00,3,₱75.00,10/12/2025 18:34:05,Yang,
Sundae Chocolate,Ice Cream,₱26.00,3,₱78.00,10/12/2025 18:34:05,Yang,
Coffee Crispy,Ice Cream,₱20.00,1,₱20.00,10/12/2025 18:34:05,AFEI,
Crispy Balls,Ice Cream,₱23.00,1,₱23.00,10/12/2025 18:34:05,AFEI,
Chocolate Melt Cone,Ice Cream,₱26.00,1,₱26.00,10/12/2025 18:34:05,AFEI,
Chocolate Crispy,Ice Cream,₱22.00,1,₱22.00,10/12/2025 18:34:05,AFEI,
Milk Melon,Ice Cream,₱16.00,1,₱16.00,10/12/2025 18:34:05,Yang,
Sweet Corn,Ice Cream,₱16.00,1,₱16.00,10/12/2025 18:34:05,Yang,
Mochi Chocolate,Ice Cream,₱16.00,1,₱16.00,10/12/2025 18:34:05,Yang,
Strawberry Crispy,Ice Cream,₱20.00,2,₱40.00,10/12/2025 18:34:05,Yang,
Coffee Crispy,Ice Cream,₱20.00,2,₱40.00,10/12/2025 18:34:05,Yang,
Double Chocolate Crispy,Ice Cream,₱25.00,2,₱50.00,10/12/2025 18:34:05,Yang,
Sundae Chocolate,Ice Cream,₱26.00,2,₱52.00,10/12/2025 18:34:05,Yang,
LUMPIA SHANGHAI CHIZ 65G,Snacks,₱26.00,1,₱26.00,10/12/2025 18:36:07,Yang,
LUMPIA SHANGHAI SWEETCOR 65G,Snacks,₱25.00,1,₱25.00,10/12/2025 18:36:07,Yang,
MOBY CHOCOLATE 25GX100,Snacks,₱10.00,2,₱20.00,10/12/2025 18:36:07,Yang,
CLOVER HAM&CHEESE 55G,Snacks,₱34.00,1,₱34.00,10/12/2025 18:36:07,Yang,
CLOVER CHIPS BBQ 55GX40,Snacks,₱34.00,1,₱34.00,10/12/2025 18:36:07,Yang,
PITATOS RDHS BBQ 85GX50,Snacks,₱51.00,1,₱51.00,10/12/2025 18:36:07,Yang,
PITATOS SOUR CREAM 40GX80,Snacks,₱24.00,1,₱24.00,10/12/2025 18:36:07,Yang,
TORTILLOS CHEESE FLAVOR 2,Snacks,₱12.00,2,₱24.00,10/12/2025 18:36:07,Yang,
TOMT SUPER SWEET CORN 25G,Snacks,₱10.00,2,₱20.00,10/12/2025 18:36:07,Yang,
C2 APPLE SOLO 230MLX24,Drinks,₱19.00,2,₱38.00,10/12/2025 18:36:07,Yang,
MOGU MOGU LYCHEES 320MLX24,Drinks,₱62.00,1,₱62.00,10/12/2025 18:36:07,Yang,
NISSIN MINI BATCHOY 40G,Packaged Foods,₱29.00,2,₱58.00,10/12/2025 18:36:07,Yang,
NISSIN MINI BATCHOY 40G,Packaged Foods,₱29.00,4,₱116.00,10/12/2025 18:36:07,Yang,
POTATO FRITES TMT KCHP 21G,Snacks,₱10.00,1,₱10.00,10/12/2025 18:36:07,Yang,
Coffee Crispy,Ice Cream,₱20.00,2,₱40.00,10/12/2025 18:37:46,SelectName,
Taro Crispystick,Ice Cream,₱20.00,1,₱20.00,10/12/2025 18:37:46,SelectName,
DM TOM SCE FILIPINO 250G,Packaged Foods,₱32.00,1,₱32.00,10/12/2025 18:37:46,SelectName,
KNORR BEEF CUBE 5,Grocery Staples,₱8.00,1,₱8.00,10/12/2025 18:37:46,SelectName,
ARGENTINA CORNEDBEEF 150G,Grocery Staples,₱44.00,1,₱44.00,10/12/2025 18:37:46,SelectName,
ARGENTINA PORKGINILING250,Grocery Staples,₱54.00,1,₱54.00,10/12/2025 18:37:46,SelectName,
WK FIESTA SPAG 400G,Grocery Staples,₱57.00,1,₱57.00,10/12/2025 18:37:46,SelectName,
Taro Crispystick,Ice Cream,₱20.00,2,₱40.00,10/12/2025 18:42:45,Yang,
Milk Melon,Ice Cream,₱16.00,3,₱48.00,10/12/2025 18:42:45,Yang,
Taro Crispystick,Ice Cream,₱20.00,1,₱20.00,10/12/2025 18:42:45,Yang,
Coffee Crispy,Ice Cream,₱20.00,2,₱40.00,10/12/2025 18:42:45,Yang,
Taro Crispystick,Ice Cream,₱20.00,1,₱20.00,10/12/2025 18:42:45,Yang,
Double Chocolate Crispy,Ice Cream,₱25.00,1,₱25.00,10/12/2025 18:42:45,Yang,
Sundae Chocolate,Ice Cream,₱26.00,2,₱52.00,10/12/2025 18:42:45,Yang,
Milk Melon,Ice Cream,₱16.00,4,₱64.00,10/12/2025 18:42:45,Yang,
Coffee Crispy,Ice Cream,₱20.00,4,₱80.00,10/12/2025 18:42:45,Yang,
