item_purchased,item_type,total_quantity_sold,total_revenue,average_unit_price,num_unique_transactions,sales_frequency,avg_quantity_per_transaction,avg_revenue_per_transaction,cluster_label
101650 COKE REG PETBOT 1.5L (1.75L),Drinks,39.0,3678.0,94.32,22,22,1.7727272727272727,167.1818181818182,1
105346 MIN MAID FRESH ORANGE 12/250,Drinks,16.0,352.0,22.076923076923077,11,11,1.4545454545454546,32.0,0
13851 GG TORTILLOS BBQ (R) 100G,Snacks,6.0,228.0,38.0,5,5,1.2,45.6,0
13854 G6 TORTILLOS CHEESE (D) 1000,Snacks,6.0,228.0,38.0,6,6,1.0,38.0,0
2pc Lechon Kawali w/ rice,Breakfast,1.0,160.0,160.0,1,1,1.0,160.0,0
3JM BAY LEAF TIES 105,Grocery Staples,60.0,120.0,2.0,1,1,60.0,120.0,1
3JM BLACKPEPPER CRCKED 105,Grocery Staples,30.0,60.0,2.0,1,1,30.0,60.0,1
555 SARDINES GREEN 1556,Grocery Staples,2.0,58.0,29.0,1,1,2.0,58.0,0
555 SARDINES HOT 155G,Grocery Staples,3.0,87.0,29.0,2,2,1.5,43.5,0
555 SARDINES SPANISH STYLE 1556,Grocery Staples,6.0,234.0,39.0,5,5,1.2,46.8,0
555 TUNA ADOBO 1556,Grocery Staples,3.0,108.0,36.0,3,3,1.0,36.0,0
555 TUNA AFRITADA 110G,Grocery Staples,3.0,84.0,28.0,3,3,1.0,28.0,0
7-UP Reg 1.5L,Drinks,1.0,88.0,88.0,1,1,1.0,88.0,0
A&H BakinoSoda 227g,Packaged Foods,1.0,51.0,51.0,1,1,1.0,51.0,0
A&W Root Beer 320ml,Drinks,1.0,55.0,55.0,1,1,1.0,55.0,0
ABSOLUTE DISTILLED WATER 35/350ML,Drinks,20.0,300.0,15.0,12,12,1.6666666666666667,25.0,0
ABSOLUTE DISTILLED WATER 4/4000ML,Drinks,4.0,332.0,83.0,3,3,1.3333333333333333,110.66666666666667,0
ADDITIONAL RICE,Others,53.0,795.0,15.0,29,29,1.8275862068965518,27.413793103448278,1
AICE 2in1 Choco Mallow Blizz 800ml,Ice Cream,9.0,1305.0,145.0,8,8,1.125,163.125,0
AICE Christmas,Ice Cream,1.0,20.0,20.0,1,1,1.0,20.0,0
AICE Tub Vanilla Chocolate 800ml,Ice Cream,4.0,660.0,165.0,4,4,1.0,165.0,0
ALASKA CONDENSADA 370G,Grocery Staples,4.0,296.0,74.0,1,1,4.0,296.0,0
ALASKA Evprtd 360ml,Packaged Foods,2.0,148.0,74.0,1,1,2.0,148.0,0
ALCOPLUS ETHYL 70 250ML,Toiletries / Personal Care,1.0,73.0,73.0,1,1,1.0,73.0,0
ALCOPLUS ETHYL 70% 60ML,Toiletries / Personal Care,3.0,72.0,24.0,3,3,1.0,24.0,0
ALCPLUS TSOP70% 60ML SPRAY,Toiletries / Personal Care,2.0,74.0,37.0,2,2,1.0,37.0,0
ALFORT (DARK),JPN FINDS,14.0,1260.0,90.0,6,6,2.3333333333333335,210.0,0
ALFORT (LIGHT BLUE),JPN FINDS,7.0,630.0,90.0,3,3,2.3333333333333335,210.0,0
ALFORT MINIS,JPN FINDS,3.0,420.0,140.0,2,2,1.5,210.0,0
